"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Nov 22 2021 00:00:00 GMT+0530 (India Standard Time)","482.60","551.50","457.40","531.95","10.16","9.51","1,114,484"
"Mon Nov 29 2021 00:00:00 GMT+0530 (India Standard Time)","545.00","545.00","498.00","499.20","-6.16","-6.80","363,696"
"Mon Dec 06 2021 00:00:00 GMT+0530 (India Standard Time)","499.00","531.75","489.45","525.60","5.29","4.64","312,407"
"Mon Dec 13 2021 00:00:00 GMT+0530 (India Standard Time)","530.10","542.65","478.55","482.75","-8.15","-8.80","375,364"
"Mon Dec 20 2021 00:00:00 GMT+0530 (India Standard Time)","480.00","508.50","472.55","495.10","2.56","1.91","314,480"
"Mon Dec 27 2021 00:00:00 GMT+0530 (India Standard Time)","496.00","531.00","493.25","528.30","6.71","6.06","414,932"
"Mon Jan 03 2022 00:00:00 GMT+0530 (India Standard Time)","533.00","533.95","509.00","511.15","-3.25","-3.89","212,932"
"Mon Jan 10 2022 00:00:00 GMT+0530 (India Standard Time)","511.00","528.05","508.20","516.00","0.95","0.30","221,068"
"Mon Jan 17 2022 00:00:00 GMT+0530 (India Standard Time)","513.50","521.35","481.65","483.35","-6.33","-6.97","317,687"
"Mon Jan 24 2022 00:00:00 GMT+0530 (India Standard Time)","483.35","496.60","465.85","487.60","0.88","0.23","272,071"
"Mon Jan 31 2022 00:00:00 GMT+0530 (India Standard Time)","492.50","505.20","484.65","491.00","0.70","0.05","188,900"
"Mon Feb 07 2022 00:00:00 GMT+0530 (India Standard Time)","492.00","512.70","482.20","489.60","-0.29","-0.93","415,846"
"Mon Feb 14 2022 00:00:00 GMT+0530 (India Standard Time)","484.00","497.60","468.45","470.50","-3.90","-4.55","240,441"
"Mon Feb 21 2022 00:00:00 GMT+0530 (India Standard Time)","468.00","471.80","423.30","452.20","-3.89","-4.54","335,217"
"Mon Feb 28 2022 00:00:00 GMT+0530 (India Standard Time)","444.10","456.80","425.65","427.15","-5.54","-6.19","353,309"
"Mon Mar 07 2022 00:00:00 GMT+0530 (India Standard Time)","417.00","456.40","415.60","453.30","6.12","5.48","496,674"
"Mon Mar 14 2022 00:00:00 GMT+0530 (India Standard Time)","454.00","460.00","439.40","443.90","-2.07","-2.72","168,053"
"Mon Mar 21 2022 00:00:00 GMT+0530 (India Standard Time)","445.00","469.20","444.35","457.10","2.97","2.33","356,908"
"Mon Mar 28 2022 00:00:00 GMT+0530 (India Standard Time)","456.50","462.20","438.45","452.25","-1.06","-1.71","449,265"
"Mon Apr 04 2022 00:00:00 GMT+0530 (India Standard Time)","450.50","484.50","450.50","479.20","5.96","5.31","303,507"
"Mon Apr 11 2022 00:00:00 GMT+0530 (India Standard Time)","483.80","487.15","468.45","477.80","-0.29","-0.94","160,440"
"Mon Apr 18 2022 00:00:00 GMT+0530 (India Standard Time)","479.70","479.70","442.20","443.45","-7.19","-7.84","154,201"
"Mon Apr 25 2022 00:00:00 GMT+0530 (India Standard Time)","445.00","453.20","425.60","440.00","-0.78","-1.42","208,426"
"Mon May 02 2022 00:00:00 GMT+0530 (India Standard Time)","435.95","440.00","405.40","410.75","-6.65","-7.29","438,925"
"Mon May 09 2022 00:00:00 GMT+0530 (India Standard Time)","412.90","423.55","386.30","394.05","-4.07","-4.71","249,371"
"Mon May 16 2022 00:00:00 GMT+0530 (India Standard Time)","395.00","410.00","386.30","407.40","3.39","2.74","144,826"
"Mon May 23 2022 00:00:00 GMT+0530 (India Standard Time)","399.90","406.95","378.00","398.05","-2.30","-2.94","247,234"
"Mon May 30 2022 00:00:00 GMT+0530 (India Standard Time)","389.50","410.85","382.85","388.90","-2.30","-2.94","529,747"
"Mon Jun 06 2022 00:00:00 GMT+0530 (India Standard Time)","388.95","401.80","375.00","388.45","-0.12","-0.76","377,263"
"Mon Jun 13 2022 00:00:00 GMT+0530 (India Standard Time)","380.50","388.00","358.05","362.45","-6.69","-7.34","213,096"
"Mon Jun 20 2022 00:00:00 GMT+0530 (India Standard Time)","362.00","385.35","348.90","383.75","5.88","5.23","201,134"
"Mon Jun 27 2022 00:00:00 GMT+0530 (India Standard Time)","385.00","396.00","379.15","394.00","2.67","2.02","108,888"
"Mon Jul 04 2022 00:00:00 GMT+0530 (India Standard Time)","396.70","401.00","378.65","387.50","-1.65","-2.30","120,916"
"Mon Jul 11 2022 00:00:00 GMT+0530 (India Standard Time)","385.00","398.95","378.40","380.45","-1.82","-2.47","293,359"
"Mon Jul 18 2022 00:00:00 GMT+0530 (India Standard Time)","381.50","387.30","372.20","374.55","-1.55","-2.20","137,705"
"Mon Jul 25 2022 00:00:00 GMT+0530 (India Standard Time)","371.00","383.00","360.50","380.70","1.64","1.00","295,627"
"Mon Aug 01 2022 00:00:00 GMT+0530 (India Standard Time)","384.00","384.00","366.65","378.25","-0.64","-1.29","253,666"
"Mon Aug 08 2022 00:00:00 GMT+0530 (India Standard Time)","378.95","395.80","369.00","389.00","2.84","2.20","279,847"
"Mon Aug 15 2022 00:00:00 GMT+0530 (India Standard Time)","390.00","407.80","384.75","387.15","-0.48","-1.12","400,887"
"Mon Aug 22 2022 00:00:00 GMT+0530 (India Standard Time)","385.00","385.00","366.00","377.20","-2.57","-3.22","410,782"
"Mon Aug 29 2022 00:00:00 GMT+0530 (India Standard Time)","366.05","389.95","361.70","369.70","-1.99","-2.63","249,278"
"Mon Sep 05 2022 00:00:00 GMT+0530 (India Standard Time)","369.10","391.95","367.60","388.95","5.21","4.56","253,646"
"Mon Sep 12 2022 00:00:00 GMT+0530 (India Standard Time)","388.95","396.60","370.80","372.50","-4.23","-4.88","392,812"
"Mon Sep 19 2022 00:00:00 GMT+0530 (India Standard Time)","376.35","389.50","366.50","384.35","3.18","2.54","521,315"
"Mon Sep 26 2022 00:00:00 GMT+0530 (India Standard Time)","382.05","394.90","363.80","388.60","1.11","0.46","282,141"
"Mon Oct 03 2022 00:00:00 GMT+0530 (India Standard Time)","392.70","409.40","389.20","397.95","2.41","1.76","331,003"
"Mon Oct 10 2022 00:00:00 GMT+0530 (India Standard Time)","395.30","399.25","376.70","391.00","-1.75","-2.39","504,822"
"Mon Oct 17 2022 00:00:00 GMT+0530 (India Standard Time)","388.00","403.00","386.20","398.15","1.83","1.18","478,131"
"Mon Oct 24 2022 00:00:00 GMT+0530 (India Standard Time)","398.45","407.50","378.45","399.75","0.40","-0.24","600,723"
"Mon Oct 31 2022 00:00:00 GMT+0530 (India Standard Time)","400.00","427.25","398.75","421.20","5.37","4.72","315,564"
"Mon Nov 07 2022 00:00:00 GMT+0530 (India Standard Time)","422.00","430.95","410.15","414.15","-1.67","-2.32","210,735"
"Mon Nov 14 2022 00:00:00 GMT+0530 (India Standard Time)","417.00","436.50","407.60","410.00","-1.00","-1.65","481,134"
